ent,sexo,year,pobreza,pobreza_e,pobreza_m,carencias,carencias3,int_pob,int_pobe,int_vulcar,int_caren,ict
Tlaxcala,2,2018,.51150304,.033125244,.47837782,.74345207,.14539088,.16131285,.017974578,.06044225,.2217551,13476.82476734459
Tlaxcala,1,2020,.5850926,.10130169,.4837909,.76899463,.2243589,.21074815,.056581158,.054821003,.26556915,12783.87059592615
Tlaxcala,2,2020,.60007185,.095785618,.50428623,.78110176,.20668462,.20878033,.054039765,.05019857,.2589789,12605.82436571441
Tlaxcala,1,2022,.52266824,.067019641,.4556486,.73904759,.24390198,.20567527,.040432803,.06978596,.27546123,16317.62115511407
Tlaxcala,2,2022,.52748162,.068002045,.45947957,.7308926,.22843021,.20247182,.041304246,.063330218,.26580203,15399.45064503451
Veracruz de Ignacio de la Llave,1,2016,.60259205,.14553617,.45705593,.80279058,.35095775,.25659215,.087173738,.069956936,.32654908,10522.1591374238
Veracruz de Ignacio de la Llave,2,2016,.60711473,.14956883,.45754588,.8077715,.3387807,.25620979,.090009257,.064414799,.32062459,10538.24857471196
Veracruz de Ignacio de la Llave,1,2018,.59486878,.1629815,.4318873,.80889291,.36199254,.25999665,.099882066,.073847167,.33384383,10704.04564703003
Veracruz de Ignacio de la Llave,2,2018,.60779279,.15983514,.44795766,.80840647,.3393403,.25723654,.096335016,.063687854,.3209244,10459.88502303524
Veracruz de Ignacio de la Llave,1,2020,.57812959,.14377429,.43435532,.80208337,.38065341,.2587975,.089649513,.081576914,.34037441,11537.25238486558
Veracruz de Ignacio de la Llave,2,2020,.59340322,.13530697,.45809624,.80484885,.35634032,.25820407,.084086463,.071895204,.33009928,11240.31130589171
Veracruz de Ignacio de la Llave,1,2022,.5101366,.13306583,.37707072,.78697985,.40931317,.24892369,.088181831,.105055,.35397869,14871.67035188985
Veracruz de Ignacio de la Llave,2,2022,.52367097,.12995116,.39371979,.78270948,.37546474,.24595034,.08633329,.091479637,.33742997,14348.49991921968
Yucatán,1,2016,.44335225,.063565783,.37978649,.72645801,.26422334,.1828894,.039813001,.091800332,.27468973,13950.25929840506
Yucatán,2,2016,.46623686,.066365615,.39987126,.7278074,.2463697,.18264471,.040282458,.080029391,.26267409,14734.94223364015
Yucatán,1,2018,.43303761,.063564867,.36947274,.70952457,.26925218,.17890602,.039107684,.092899665,.2718057,16343.21549754548
Yucatán,2,2018,.44740418,.067368649,.38003552,.70951253,.24276675,.17582618,.040658478,.081841424,.2576676,16894.55570059948
Yucatán,1,2020,.48715878,.11324961,.37390918,.72490919,.29361141,.2074233,.069278903,.078382969,.28580627,15634.21660708965
Yucatán,2,2020,.50177097,.11238137,.38938963,.70785016,.27058527,.20672853,.067984723,.065522574,.2722511,15011.76172837107
Yucatán,1,2022,.37730482,.055238802,.32206601,.69214469,.28744438,.16595283,.03363486,.11410463,.28005746,20922.11737430346
Yucatán,2,2022,.39767292,.056805238,.34086767,.68809867,.27506965,.16660559,.034071285,.10345188,.27005747,20745.80976137379
Zacatecas,1,2016,.49410558,.044646356,.44945922,.72050869,.13615134,.15034354,.024181057,.063660011,.21400355,11923.41620163485
Zacatecas,2,2016,.5092389,.031269595,.47796929,.72091603,.10544939,.14185533,.017038021,.05819495,.20005028,12386.3667342591
Zacatecas,1,2018,.48777503,.038578358,.44919667,.74308252,.14122103,.14986564,.021753091,.071985647,.22185129,12988.82254369923
Zacatecas,2,2018,.49653473,.033502888,.46303186,.72197765,.11130816,.14298451,.018535459,.060468435,.20345294,12603.02827747805
Zacatecas,1,2020,.44977003,.043845583,.40592444,.71392488,.16801785,.14804062,.024981989,.08248049,.23052111,15455.41346388723
Zacatecas,2,2020,.46508983,.035075415,.4300144,.71160096,.12874846,.14136918,.019187631,.073223434,.21459261,14394.65211580003
Zacatecas,1,2022,.44039354,.054762863,.3856307,.7126863,.20853664,.15880412,.031216789,.089235455,.24803956,17430.90633634533
Zacatecas,2,2022,.44377884,.048032839,.39574599,.70069009,.16563962,.15168238,.02760154,.07793384,.22961622,16902.85744037239
