ent,sexo,year,pobreza,pobreza_e,pobreza_m,carencias,carencias3,int_pob,int_pobe,int_vulcar,int_caren,ict
Durango,2,2018,.38750765,.020860551,.36664709,.60990638,.080127902,.10596261,.011491998,.057141386,.163104,14713.66577275234
Durango,1,2020,.38682526,.044525497,.34229979,.63558769,.15674721,.12999307,.025330814,.076064765,.20605783,16613.23857280337
Durango,2,2020,.38700315,.041643567,.34535959,.60496414,.11511285,.12105742,.02289062,.060839213,.18189664,15950.14727017103
Durango,1,2022,.35078904,.065297574,.28549147,.63722032,.20499861,.13964421,.041690465,.092079274,.23172349,19381.88171735935
Durango,2,2022,.33592364,.060887981,.27503568,.61291242,.17012785,.12771815,.038685169,.082833834,.21055199,19595.11160071736
Guanajuato,1,2016,.38908207,.03577571,.35330635,.7017414,.1638443,.13002445,.020717634,.090392247,.22041669,17103.99700261152
Guanajuato,2,2016,.39754069,.037569262,.35997143,.71193492,.14931501,.12878509,.020728502,.08645013,.21523522,18595.00300278458
Guanajuato,1,2018,.40078035,.034874342,.36590603,.70534784,.16503382,.13521893,.020079359,.090243213,.22546214,15999.91564519226
Guanajuato,2,2018,.42769933,.036435828,.39126348,.71127689,.15250033,.13952871,.020666238,.079463087,.2189918,15352.19739562877
Guanajuato,1,2020,.42098093,.047971461,.37300947,.70684654,.20074292,.15113476,.027266068,.090338439,.2414732,16422.67873750548
Guanajuato,2,2020,.43338782,.042930234,.39045757,.71098149,.16940857,.14782941,.024264136,.081033841,.22886325,15802.30097342886
Guanajuato,1,2022,.32685268,.033720776,.29313192,.67957437,.21310748,.12647043,.01965813,.11575913,.24222957,20450.23751081304
Guanajuato,2,2022,.33357075,.031182297,.30238846,.66319722,.1815318,.12210651,.017468747,.10278383,.22489035,19940.11041366928
Guerrero,1,2016,.66813207,.23247813,.43565392,.88058168,.45371881,.31212965,.14327136,.074671209,.38680086,8895.853612242596
Guerrero,2,2016,.66841799,.23194863,.43646938,.869349,.42494643,.30297828,.14138494,.067133732,.37011203,8551.767882890801
Guerrero,1,2018,.67672294,.26582387,.41089907,.8846994,.4927702,.3339631,.16690101,.071617745,.40558085,9841.759028429567
